index,field_key,dataset_name,physical_meaning,source_device_interface,unit,measured_or_commanded,urdf_joint_name,sign,zero_offset,formula,coupling_or_mimic,evidence,verified
0,observation.state,arm_joint_0.pos,UR arm actual joint 0 position,rtde_receive.getActualQ(),radian (UR RTDE convention; code applies no conversion),measured actual_q,shoulder_pan_joint,+ direct RTDE order; no code-side sign change,0 code-side,state[0]=getActualQ()[0],,ur7e.py:_get_joint_positions/get_observation; resolved_robot.urdf,True
1,observation.state,arm_joint_1.pos,UR arm actual joint 1 position,rtde_receive.getActualQ(),radian (UR RTDE convention; code applies no conversion),measured actual_q,shoulder_lift_joint,+ direct RTDE order; no code-side sign change,0 code-side,state[1]=getActualQ()[1],,ur7e.py:_get_joint_positions/get_observation; resolved_robot.urdf,True
2,observation.state,arm_joint_2.pos,UR arm actual joint 2 position,rtde_receive.getActualQ(),radian (UR RTDE convention; code applies no conversion),measured actual_q,elbow_joint,+ direct RTDE order; no code-side sign change,0 code-side,state[2]=getActualQ()[2],,ur7e.py:_get_joint_positions/get_observation; resolved_robot.urdf,True
3,observation.state,arm_joint_3.pos,UR arm actual joint 3 position,rtde_receive.getActualQ(),radian (UR RTDE convention; code applies no conversion),measured actual_q,wrist_1_joint,+ direct RTDE order; no code-side sign change,0 code-side,state[3]=getActualQ()[3],,ur7e.py:_get_joint_positions/get_observation; resolved_robot.urdf,True
4,observation.state,arm_joint_4.pos,UR arm actual joint 4 position,rtde_receive.getActualQ(),radian (UR RTDE convention; code applies no conversion),measured actual_q,wrist_2_joint,+ direct RTDE order; no code-side sign change,0 code-side,state[4]=getActualQ()[4],,ur7e.py:_get_joint_positions/get_observation; resolved_robot.urdf,True
5,observation.state,arm_joint_5.pos,UR arm actual joint 5 position,rtde_receive.getActualQ(),radian (UR RTDE convention; code applies no conversion),measured actual_q,wrist_3_joint,+ direct RTDE order; no code-side sign change,0 code-side,state[5]=getActualQ()[5],,ur7e.py:_get_joint_positions/get_observation; resolved_robot.urdf,True
6,observation.state,arm_joint_0.vel,UR arm actual joint 0 velocity,rtde_receive.getActualQd(),radian/s (UR RTDE convention; code applies no conversion),measured actual_qd,shoulder_pan_joint,+ direct RTDE order; no code-side sign change,0 code-side,state[6]=getActualQd()[0],,ur7e.py:_get_joint_velocities/get_observation,True
7,observation.state,arm_joint_1.vel,UR arm actual joint 1 velocity,rtde_receive.getActualQd(),radian/s (UR RTDE convention; code applies no conversion),measured actual_qd,shoulder_lift_joint,+ direct RTDE order; no code-side sign change,0 code-side,state[7]=getActualQd()[1],,ur7e.py:_get_joint_velocities/get_observation,True
8,observation.state,arm_joint_2.vel,UR arm actual joint 2 velocity,rtde_receive.getActualQd(),radian/s (UR RTDE convention; code applies no conversion),measured actual_qd,elbow_joint,+ direct RTDE order; no code-side sign change,0 code-side,state[8]=getActualQd()[2],,ur7e.py:_get_joint_velocities/get_observation,True
9,observation.state,arm_joint_3.vel,UR arm actual joint 3 velocity,rtde_receive.getActualQd(),radian/s (UR RTDE convention; code applies no conversion),measured actual_qd,wrist_1_joint,+ direct RTDE order; no code-side sign change,0 code-side,state[9]=getActualQd()[3],,ur7e.py:_get_joint_velocities/get_observation,True
